EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
8435407610132,Bang! Duelo,"13,63",1,"23,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380086079,Dixit Memories,"13,63",1,"22,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380100263,Splendor Duel,"15,49",1,"26,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380093381,Happy Little Dinosaurs,"13,63",1,"23,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435407642379,Bonsái,"21,68",1,"36,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8436607940593,The White Castle,"19,4",1,"34,9",,Juegos de mesa,Juego de mesa,21,Azeta
810083044699,El bien contra el mal Exploding Kittens,"13,63",1,"24,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
3760269592926,Kids Express,"18,59",1,"33,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380108856,Skyrim Juego Aventuras,"80,57",1,130,,Juegos de mesa,Juego de mesa,21,Asturlibros
8425402885673,Valkirias,"20,22",1,"34,9",,Juegos de mesa,Juego de mesa,21,Tranjis Games
8495390897477,Side Quest,"9,8",1,"17,95",,Juegos de mesa,Juego de mesa,21,Tranjis Games
8425402886359,Cubonejos,"8,65",1,"15,95",,Juegos de mesa,Juego de mesa,21,Tranjis Games
5425016928134,Duelo Tierra Media,"18,59",1,"31,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450255014,Micro Macro Kids,"17,32",1,"31,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450254895,Haunted Lands,"28,9",1,"49,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435407650237,Nova Era,"21,69",1,"37,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8412906000107,Naruto Combate de Ninjas,"7,64",1,30,,Juegos de mesa,Juego de mesa,21,Heo GmbH
8435407650022,Dceased Gotham,"30,98",1,"52,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435407650770,Bang Explosión Dados,"24,79",1,"41,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
5407009610240,Duck & Cover,"9,28",1,"17,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8437027027048,Pelusas Revolution,"8,76",2,"15,9",,Juegos de mesa,Juego de mesa,21,Azeta
8436607944096,Dim Sum Sushi Go,"16,82",1,"29,9",,Juegos de mesa,Juego de mesa,21,Devir
8435407604742,Star Wars Imperial Assault,"68,17",1,115,,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380129158,SW Batalla Hoth,"30,98",1,"52,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
841333133771,Hobbit Historia Ida Vuelta,"20,62",1,"34,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
3760089893029,OP Asalto Marineford,"12,39",1,30,,Juegos de mesa,Juego de mesa,21,Asturlibros
3760089894118,Combo,"9,29",1,"17,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
810171412058,Exploding Kittens ED Aniversario,"12,39",1,"22,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
3760089894217,Lucky Saloon,"9,29",1,"18,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450255045,Dorf Romantik Sakura,26,1,"49,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
4005556268283,Push,0,1,"13,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
4005556228881,Push Naruto,0,1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
8436607944522,Catan Energías,"34,99",1,"56,9",,Juegos de mesa,Juego de mesa,21,Devir
8435450219177,Aeon's End,"57,82",1,99,,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380135333,Dewan,"23,24",1,"39,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450254925,111 Formigues,"7,49",1,"14,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8436607949831,Circos Artistas Carcassonne,"11,25",1,"19,9",,Juegos de mesa,Juego de mesa,21,Azeta
8436607948827,Nacidos de la Bruma,"24,99",1,"41,9",,Juegos de mesa,Juego de mesa,21,Azeta
8437027014758,Teto,"9,84",1,"19,9",,Juegos de mesa,Juego de mesa,21,Azeta
824968208366,Aventureros Tren Leyendas Oeste,"68,71",1,110,,Juegos de mesa,Juego de mesa,21,Asturlibros
3664824001581,Potion House,"13,63",1,"24,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
3664824002328,Out of Sock,"12,39",1,"22,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
5906954790347,Pérgola,"20,02",1,"44,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
735850157108,Arquitectos Reino Oeste,"30,98",1,"58,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435407642294,Maldita Palabrita,"9,91",1,"18,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380125914,Perudo,"12,39",1,"23,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
841333127985,Rio de oro,"30,98",1,"53,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435407642089,Cardline Animales,"9,29",1,"18,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435407642096,Cardline Dinosaurios,"9,29",1,"18,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
8495390805724,Héroes de Tenefyr,"16,7",1,"29,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
3770011991761,Play Hit,"12,39",1,"23,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450219313,Quita esa mano,"7,49",1,"13,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450254710,Match Madness,"15,59",1,"28,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450254956,Onix,"10,38",1,"18,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450254949,Otro dia será,"10,38",1,"17,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450254871,Semeva Labola,"17,32",1,"29,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450249662,Smart10,"14,43",1,"26,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
3558380053958,Story Cubes Intergalático,0,9,4,,Juegos de mesa,Juego de mesa,21,Asturlibros
8436625610737,Mind Bug King Tokyo,"14,58",1,"27,9",,Juegos de mesa,Juego de mesa,21,Devir
8436625610812,King Tokyo Mind Bug,"10,5",1,"22,9",,Juegos de mesa,Juego de mesa,21,Devir
8436017220056,Catan Navegantes,"27,4",1,"44,9",,Juegos de mesa,Juego de mesa,21,Devir
8436607946014,Star Realms Rise Empire,"29,15",1,"49,9",,Juegos de mesa,Juego de mesa,21,Devir
4012426884337,The Mind,"7,42",2,"14,9",,Juegos de mesa,Juego de mesa,21,Azeta
4012426884368,The Game,"7,2",1,"14,9",,Juegos de mesa,Juego de mesa,21,Azeta
8436621891642,Kawaii Chef,"8,07",1,"14,9",,Juegos de mesa,Juego de mesa,21,Azeta
,,,,,,,,,
810010993625,Tetris Miniatura,"5,37",1,10,,Juegos de mesa,Juego de mesa,21,Azeta
8436578813728,Pistas Cruzadas,"9,69",1,"16,9",,Juegos de mesa,Juego de mesa,21,Azeta
8710126199565,Hister Temazos,"19,24",1,"27,9",,Juegos de mesa,Juego de mesa,21,Azeta
8721017602330,Hister 100% Español,"19,24",1,"27,9",,Juegos de mesa,Juego de mesa,21,Azeta
8436607944423,Trio,"8,49",1,"14,9",,Juegos de mesa,Juego de mesa,21,Azeta
8436607943556,Diamant,"16,36",1,"27,9",,Juegos de mesa,Juego de mesa,21,Azeta
8437028641137,Virus Roll Write,"15,36",1,"26,9",,Juegos de mesa,Juego de mesa,21,Azeta
8410446000939,Stratego Original,"26,93",1,"37,9",,Juegos de mesa,Juego de mesa,21,Azeta
5706569307240,Caja mazo 100 cards Dragon shield,"1,87",1,"3,9",,Juegos de cartas,Accejuego,21,TCG Factory
74427182267,Caja mazo pro100 MTG,"2,45",1,"4,5",,Juegos de cartas,Accejuego,21,TCG Factory
74427811266,Funda standard Ultra pro,"0,82",47,"2,5",,Juegos de cartas,Accejuego,21,TCG Factory
,Caja almacenaje 500 cartas,"0,58",2,"1,9",,Juegos de cartas,Accejuego,21,TCG Factory
,Caja almacenaje 4000 cartas,"4,02",8,"9,95",,Juegos de cartas,Accejuego,21,TCG Factory
,Dado de rol,"0,24",100,1,,Juegos de cartas,Accejuego,21,Kool Things
74427814427,Ultra Pro Silver Pocket Pages,"0,07",37,"0,25",,Juegos de cartas,Accejuego,21,TCG Factory
,Caja almacenaje 1000 cartas,"1,13",6,"2,95",,Juegos de cartas,Accejuego,21,TCG Factory
8435407634329,Historias del bucle Caja inicio,"16,82",1,"27,9",,Juegos de mesa,Rol,4,Asturlibros
9788494589997,Fantasía para 5ª #2 Destino hermanas feéricas,"6,39",1,"9,5",,Juegos de mesa,Rol,4,Asturlibros
9788496802995,La llamada de Cthulhu,"33,62",1,"49,95",,Juegos de mesa,Rol,4,Asturlibros
8436607941026,ESDLA Libro Básico,"27,69",1,"39,95",,Juegos de mesa,Rol,4,Devir
8436589620728,Starfinder Libro Básico,"13,85",1,"23,9",,Juegos de mesa,Rol,4,Devir
8436017227338,ESDLA Aventuras en la Tierra Media,"20,77",1,"29,95",,Juegos de mesa,Rol,4,Devir
3558380116905,Arkham Manual Básico,"30,98",1,48,,Juegos de mesa,Rol,4,Asturlibros
,A por el Rey Kool Game,2,4,6,,Juegos de mesa,Kool Game,21,Kool Things
,Dice Sauce,11,3,25,,Juegos de mesa,Kool Game,21,Kool Things
,Magos peleones Kool Game,2,2,7,,Juegos de mesa,Kool Game,21,Kool Things
,Dados de rol Kool Game,"3,66",3,9,,Juegos de mesa,Kool Game,21,Kool Things
,Clutch Festival Triples,"5,84",2,18,,Juegos de mesa,Kool Game,21,Kool Things
,Clutch Batalla Pintura,"5,84",1,18,,Juegos de mesa,Kool Game,21,Kool Things
,Clutch Duelo Banquillos,"5,84",4,18,,Juegos de mesa,Kool Game,21,Kool Things
,Fast Flick,"3,5",5,9,,Juegos de mesa,Kool Game,21,Kool Things
