id,nombre,sku,categoria,tipo,proveedor,pvp,coste,ventas_totales,stock_actual,descripcion_shopify,notas_internas
12,BG-Clutch Festival Triples,BG102507,Juegos de cartas,Juego de Mesa,Kool Things,22.0,6.39,0,0,"
",
11,FIG-OP Sabo Grandline men DXF,FIG120050,Figuras de acción,Figura,Astur Libros,29.9,18.54,0,0,"
",
7,KBG-Bolsa red,KBG403,"Bolsos, billeteras y estuches",Bolso,Kool Things,9.9,2.0,0,0,"



",
