EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
9788467964158,Ataque Titanes 2 EC,"16,49",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467964165,Ataque Titanes 3 EC,"16,49",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467964172,Ataque Titanes 4 EC,"16,49",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467964189,Ataque Titanes 5 EC,"16,5",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467972443,Ataque Titanes 6 EC,"16,49",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467973877,Ataque Titanes 7 EC,"16,49",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467975369,Ataque Titanes 8 EC,"16,49",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467975383,Ataque Titanes 9 EC,"16,49",1,"24,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9791388055010,Atelier Arte,"18,84",1,28,,Libros de cómics,MANGA,4,AZETA
9788417373412,Atelier Witch 1,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9788419536204,Atelier Witch 10,"5,62",1,9,,Libros de cómics,MANGA,4,AZETA
9788419914217,Atelier Witch 11,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9788410223585,Atelier Witch 12,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9791387506162,Atelier Witch 13,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791387831431,Atelier Witch 14,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9791388055461,Atelier Witch 15,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788417373535,Atelier Witch 2,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788417373726,Atelier Witch 3,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788417820053,Atelier Witch 4,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788417820626,Atelier Witch 5,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9788418222245,Atelier Witch 6,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9788418222740,Atelier Witch 7,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9788418222757,Atelier Witch 7 ED,"12,12",0,18,,Libros de cómics,MANGA,4,AZETA
9788418788581,Atelier Witch 8,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9788419195456,Atelier Witch 9,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791387831912,Atelier Witch Hat EG 1,"16,16",0,24,,Libros de cómics,MANGA,4,AZETA
9791388055225,Atelier Witch Hat EG 2,15,1,24,,Libros de cómics,MANGA,4,AZETA
9791388055362,ATOM 18,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788410223172,Badducks 1,"6,39",1,"9,5",,Libros de cómics,MANGA,4,AZETA
9788410223370,Badducks 2,"6,39",1,"9,5",,Libros de cómics,MANGA,4,AZETA
9788410223578,Badducks 3,"6,39",1,"9,5",,Libros de cómics,MANGA,4,AZETA
9788410223929,Badducks 4,"6,39",1,"9,5",,Libros de cómics,MANGA,4,AZETA
9788467979497,Barco Teseo 1,"12,19",0,"19,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467979503,Barco Teseo 2,"13,12",1,"19,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467979510,Barco Teseo 3,"13,12",1,"19,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9791399163032,Bastard 3,"13,43",1,"19,95",,Libros de cómics,MANGA,4,AZETA
9788416401079,BDZ Guerrers 5 Anime,"7,07",1,"10,5",,Libros de cómics,MANGA,4,PLANETA
9788416244478,BDGT 100 anys CAT,"7,1",2,"10,5",,Libros de cómics,MANGA,4,PLANETA
9788416636532,BDZ Rivals Forts CAT,"7,07",0,"10,5",,Libros de cómics,MANGA,4,PLANETA
9791388055140,Beat Motion 6,"8,08",1,12,,Libros de cómics,MANGA,4,AZETA
9788467977097,Become Lord Elden Ring 1,"10,74",1,"15,95",,Libros de cómics,MANGA,4,ASTURLIBROS
8424248924911,Berserk Maximum 21 Postales,"14,78",4,"21,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411015035,Berserk Maximum 1,"11,41",0,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017732,Berserk Maximum 10,"11,41",0,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411500906,Berserk Maximum 11,"11,41",0,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411500913,Berserk Maximum 12,"11,41",0,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411500920,Berserk Maximum 13,"11,41",0,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411019415,Berserk Maximum 14,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017015,Berserk Maximum 15,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017022,Berserk Maximum 16,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017039,Berserk Maximum 17,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017749,Berserk Maximum 18,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017046,Berserk Maximum 19,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411016964,Berserk Maximum 2,"11,41",0,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017756,Berserk Maximum 20,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788410519220,Berserk Maximum 21,"11,41",6,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411016971,Berserk Maximum 3,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411015042,Berserk Maximum 4,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411016988,Berserk Maximum 5,"11,41",2,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411015059,Berserk Maximum 6,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411016995,Berserk Maximum 7,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017725,Berserk Maximum 8,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788411017008,Berserk Maximum 9,"11,41",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788412930627,Bibliomania ED,"13,43",1,"18,95",,Libros de cómics,MANGA,4,AZETA
9788413347677,Bleach Maximum 15,"10,09",1,"16,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9791387822323,Bloody Eye 1,"6,7",1,"9,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9791387506308,Blue Moment,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791388055102,Blue Period 17,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791387506230,Boda Luciérnagas 1,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9791387506599,Boda Luciérnagas 2,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791387506865,Boda Luciérnagas 3,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9791387831196,Boda Luciérnagas 4,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9791387831448,Boda Luciérnagas 5,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9791387831820,Boda Luciérnagas 6,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791388055041,Boda Luciérnagas 7,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791388055447,Boda Luciérnagas 9,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791387831806,Boichi Pack Historias Cortas,"13,46",1,20,,Libros de cómics,MANGA,4,AZETA
9788413418834,Bola Drac ED 1,"8,71",3,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418926,Bola Drac ED 10,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418933,Bola Drac ED 11,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418940,Bola Drac ED 12,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418957,Bola Drac ED 13,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418964,Bola Drac ED 14,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418971,Bola Drac ED 15,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418988,Bola Drac ED 16,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418995,Bola Drac ED 17,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419008,Bola Drac ED 18,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419015,Bola Drac ED 19,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418841,Bola Drac ED 2,"8,71",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419022,Bola Drac ED 20,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419039,Bola Drac ED 21,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419046,Bola Drac ED 22,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419053,Bola Drac ED 23,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419060,Bola Drac ED 24,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419077,Bola Drac ED 25,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788411123174,Bola Drac ED 26,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419091,Bola Drac ED 27,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419107,Bola Drac ED 28,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419114,Bola Drac ED 29,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418858,Bola Drac ED 3,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419121,Bola Drac ED 30,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419138,Bola Drac ED 31,"8,04",0,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419145,Bola Drac ED 32,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419152,Bola Drac ED 33,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413419169,Bola Drac ED 34,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418865,Bola Drac ED 4,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418872,Bola Drac ED 5,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418889,Bola Drac ED 6,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
